[     208ms] [WARNING] "shadow*" style props are deprecated. Use "boxShadow". @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:19705
[     216ms] [WARNING] [expo-av]: Expo AV has been deprecated and will be removed in SDK 54. Use the `expo-audio` and `expo-video` packages to replace the required functionality. @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:104252
[     944ms] [WARNING] props.pointerEvents is deprecated. Use style.pointerEvents @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:19705
[ 1065687ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1070687ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1075694ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1080693ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1085702ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1090706ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1095720ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1100719ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1105733ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1110732ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1115734ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1120746ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1125746ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1130749ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1135759ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1140759ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1145777ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1150778ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1155787ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1160789ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1165800ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1170798ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1175809ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
